"species","abu_A","abu_B","abu_C","abu_D"
"Acrocephalus_palustris",0.524987457079542,0.393761958629653,0.119209287723029,0.226711970612743
"Acrocephalus_schoenobaenus",0.231501819026631,0.138659378012143,0.248753254339514,0.15105376729192
"Acrocephalus_scirpaceus",0.315910331624223,0.094009431659871,-0.139603935338712,-0.137016370648838
"Actitis_hypoleucos",0.291589359170727,0.0593447406205058,-0.0582367767683079,-0.133877855846498
"Aegithalos_caudatus",0.401595759938437,0.207514774630336,0.37302464556386,-0.496564758348371
"Alauda_arvensis",0.671746130376395,0.649974719083446,-0.0357160166740629,0.0283228332389176
"Anas_crecca",0.240494789568931,-0.00281388077381685,-0.0896193236673048,-0.234502980932412
"Anas_platyrhynchos",0.509258205485365,0.448092978452069,0.120693277081473,0.0152379625443545
"Anser_anser",0.378887449496853,0.324876985437465,-0.274689818811773,-0.312550827408026
"Anthus_pratensis",0.7724915000467,0.717583082306238,0.36223486092335,0.38226381883267
"Anthus_trivialis",0.623872551375215,0.587841272241944,-0.0281318143012389,-0.0171099075880009
"Apus_apus",0.448396213519839,0.425409404930163,0.089838066382909,-0.0462060702307741
"Ardea_cinerea",0.318125626949877,0.253206672876739,0.0936438839275085,0.101484009625355
"Aythya_fuligula",0.394343003596048,0.294091127276175,-0.420687149028498,0.0152449332228899
"Bonasa_bonasia",0.158520518434291,-0.0413247393208964,0.0382361384079092,0.0354889314975272
"Branta_canadensis",0.401165760139696,0.295528490913451,0.0140720653903593,0.0258148766327718
"Bucephala_clangula",0.337711875834945,0.261826765891231,0.0899897541117499,-0.0999761892154252
"Buteo_buteo",0.3182814858052,0.252537936517758,-0.0591458221456251,-0.0502353049399902
"Carduelis_cannabina",0.50293887474155,0.471164424194873,0.017006669719409,-0.0183165145410567
"Carduelis_carduelis",0.265163095311797,0.17914825738942,-0.189288177921126,0.15077834710883
"Carduelis_chloris",0.504613601329674,0.387552379582914,0.191246453097943,0.0365591769704673
"Carduelis_flammea",0.356005001304742,0.314087348002538,0.0176171189991434,-0.050461000478899
"Carduelis_spinus",0.424286943849015,0.393621090809711,-0.0387354845354739,-0.0111215463897976
"Carpodacus_erythrinus",0.331160116641159,0.24115909197915,-0.313890223243026,-0.352324917194561
"Certhia_familiaris",0.37779106790681,0.282458719256443,-0.198013065035827,-0.176460720318899
"Coccothraustes_coccothraustes",0.285055351056516,0.0598234031678972,0.14564024602542,0.0711139133589123
"Columba_livia",0.37035143363532,0.417493747542095,-0.0356629964015291,0.29397173200767
"Columba_oenas",0.279928386834582,0.179899991938881,-0.168280361898223,-0.0737304628100093
"Columba_palumbus",0.726097520501508,0.627707462968356,-0.146488962893211,-0.127080806992047
"Corvus_corax",0.181234001565463,0.149060620793405,0.0108897418733092,0.000417780148108148
"Corvus_corone",0.72741800841315,0.704978345488285,-0.141986942309875,-0.126475079583308
"Corvus_monedula",0.658453378076063,0.62435952204021,0.0146296585785747,-0.0159134175534168
"Cuculus_canorus",0.104250322257533,-0.0571736401109262,0.00639435848663199,-0.0144264623641902
"Cygnus_cygnus",0.443321710027363,0.196641110557276,0.158466851287261,-0.169487362644119
"Cygnus_olor",0.540766384614005,0.517563091887665,-0.0424595399370756,-0.0305774102303196
"Delichon_urbicum",0.351002457157779,0.312964540007897,0.171761365596334,0.0627006483987799
"Dendrocopos_major",0.360389918309518,0.207355488604821,-0.0335611037292508,0.0551601948636933
"Dryocopus_martius",0.204851306337171,0.132043608758137,0.158767933370334,0.115394793394524
"Emberiza_citrinella",0.500977476024891,0.433037440197667,0.0506031059770598,-0.0716775333689453
"Emberiza_rustica",0.375951215299529,0.255978196807196,0.970393777508111,0.920866650637555
"Emberiza_schoeniclus",0.330672064054935,0.269092945698865,0.283178749286057,0.200221566939067
"Erithacus_rubecula",0.667735866402375,0.590161995549486,0.0697277693580808,0.0522691711930274
"Falco_tinnunculus",0.254182288672448,0.230911608674334,0.714374578878406,0.628706448545385
"Ficedula_hypoleuca",0.320109202676522,0.157088964390052,0.0912528083735569,0.10376266811827
"Fringilla_coelebs",0.749201310286157,0.73048866439207,-0.029482269538056,0.0223225806755558
"Fringilla_montifringilla",0.671544676077673,0.601074110965911,-0.163876407387497,-0.15071153638817
"Fulica_atra",0.368717787491649,0.115160654892154,0.343689650951327,0.259295078154608
"Gallinago_gallinago",0.236328654541591,0.122741477421064,0.0477516360517415,0.0723872245020703
"Garrulus_glandarius",0.431730005117966,0.308169901537689,-0.0193868570835592,-0.0282206071840073
"Gavia_arctica",0.245810942705364,0.219883412947795,0.0367194690518594,-0.119247233004938
"Gavia_stellata",0.175632975656947,0.191973373929864,-0.120217687596214,-0.177127714417601
"Grus_grus",0.316677285184448,0.249294059643163,-0.0126494120224849,-0.0289255278375911
"Haematopus_ostralegus",0.492984253943072,0.443824069461081,-0.0736685723979859,0.084595137996775
"Hippolais_icterina",0.376416734629979,0.317549758301561,-0.0460531565181622,0.115206434690467
"Hirundo_rustica",0.532120222293966,0.456495004152504,0.0164611958203419,0.0919223426982046
"Jynx_torquilla",0.148297491392017,0.0966262213311228,0.0176833253973893,-0.160909375276433
"Lagopus_lagopus",0.351799333958293,0.147803853403935,-0.102742086347712,-0.131054023821407
"Lanius_collurio",0.102939515562657,-0.00716445855060586,-0.130481895206437,-0.0306545615480007
"Larus_argentatus",0.465053187686571,0.407749401663901,-0.100597015441617,-0.0628000463089813
"Larus_canus",0.519802702341272,0.413398754214217,0.0619187656296379,0.0247738246012739
"Larus_marinus",0.491281000828358,0.46986550475705,0.348438745415688,0.300307558960468
"Larus_ridibundus",0.47711925199764,0.431436056033473,0.0120750900955271,-0.115196347635201
"Loxia_curvirostra",0.280235320396921,0.19705796661302,0.198854907957477,0.185917673750386
"Loxia_pytyopsittacus",0.254334438286139,0.122068655596962,-0.359938250672171,-0.446323822432946
"Lullula_arborea",0.268204099810713,0.110943890541052,-0.542811979365859,-0.419655466436539
"Luscinia_luscinia",0.52667465430329,0.450960127749051,0.201067852115345,0.169302510094623
"Luscinia_svecica",0.440803197661651,0.147604040320099,-0.259582690617223,0.0549986672034442
"Mergus_merganser",0.474665964678987,0.410396727502165,-0.158148237784676,-0.0276017929526806
"Motacilla_alba",0.603269673623284,0.546638009238411,-0.113803143845094,-0.118568368818049
"Motacilla_flava",0.463747411676163,0.333759468005262,0.223389835575138,0.228247672516186
